institution,dataset_group,n_datasets
e-나라지표,국가신용등급Moodys,1
e-나라지표,국가신용등급SP,1
통계청,국가유공자평균연령내역,1
한국은행,국내총생산에대한지출내역,1
e-나라지표,국제인구이동내역,1
e-나라지표,농림업생산액및GDP대비부가가치비중,1
e-나라지표,대북지원현황,1
통계청,도시2인이상세대월평균가계수지내역,1
통계청,문화재자료내역,1
FRED,미국실업수당청구건수내역,1
e-나라지표,밀입국출국자단속추이내역,1
통계청,발주자별건설기성액현황,1
한국은행,분기별상품수지내역,1
한국은행,비영리단체의목적별투입및산출내역,1
통계청,뺑소니교통사고율현황,1
통계청,사업장분류별장애인종사자수내역,1
통계청,사업체수현황,1
통계청,사회복지지출규모내역,1
통계청,상권별소규모상가공실률현황,1
통계청,상권별중대형상가수익률현황,1
통계청,생물의약품생산및수입실적내역,1
e-나라지표,생활사업장폐기물발생및처리현황내역,1
통계청,성및거처의종류별1인가구내역,1
e-나라지표,성불평등지수GII현황내역,1
기획재정부,세목 예산편성현황(총액),1
기획재정부,세목예산편성현황(외화),1
기획재정부,세부사업 예산편성현황(총액),1
기획재정부,세입수입 결산 현황,1
e-나라지표,수입식품현황,1
한국은행,수출물량지수내역,1
한국경제연구원,수출전산업BSI전망내역,1
e-나라지표,스포츠산업전문인력현황내역,1
통계청,시군구별고령인구내역,1
통계청,시도국내관광내역,1
통계청,시도특성별독서내역,1
e-나라지표,식중독신고건수및환자수내역,1
통계청,아파트월세통합가격지수내역,1
e-나라지표,에너지수급현황내역,1
e-나라지표,여성전문관리직종사자구성비내역,1
e-나라지표,역대사면실시현황내역,1
e-나라지표,연구개발인력현황내역,1
한국재정정보원,외국인 카드소비 데이터,1
전력거래소,월별평균최대전력수급내역,1
통계청,유료도로현황내역,1
통계청,이민자총소득대비지출부문별구성비내역,1
e-나라지표,인구10만명당의료인수추이내역,1
통계청,인구천명당의료기관병상수내역,1
e-나라지표,일반병해충발생현황,1
한국은행,일별주식시장내역,1
통계청,일자리만족도내역,1
e-나라지표,임산물생산량및생산액현황,1
통계청,임업가구소득내역,1
통계청,화재사망자수현황,1
통계청,장래성및연령별순이동률내역,1
통계청,장애인고용내역,1
통계청,전산업생산지수(원지수),1
한국은행,조세징수액내역,1
통계청,조이혼율내역,1
통계청,주민만명당화재발생건수현황,1
e-나라지표,주요도시대기오염도미세먼지(PM-2.5)현황,1
통계청,주택유형별매매가격지수내역,1
지방교육재정알리미,지방교육재정재정자주도결산내역,1
지방재정365,지방재정자체사업비중내역,1
지방재정365,지방재정재정자립도결산내역,1
지방재정365,지방재정중기지방재정계획내역,1
통계청,지역및연령별등록외국인현황,1
통계청,지역별가동법인수내역,1
e-나라지표,참전유공자내역,1
통계청,청소년지도사양성현황내역,1
통계청,청소년현재흡연율추이내역,1
한국재정정보원,카드소비 데이터 요약 시군구,1
통계청,코스피지수내역,1
통계청,품목별수출액수입액현황,1
e-나라지표,품목시장집중도및산업집중도내역,1
한국은행,한국은행기준금리및여수신금리내역,1
통계청,해외건설수주내역,1
통계청,혼인형태내역,1
통계청,국가별수입검사실적현황,1
통계청,1인지출경비-전체(종합분석),1
통계청,전용면적별착공실적월계내역,1
통계청,ICT분야BSI현황,1
e-나라지표,IPU여성국회의원비율및순위내역,1
통계청,OECD국가별연령계층별고용률내역,1
통계청,OECD도소매업현황,1
한국과학기술기획평가원,RND회계기금별집행내역,1
FRED,VIX뉴욕주식시장변동성지수내역,1
통계청,건설수주동향내역,1
한국은행,경제심리지수내역,1
e-나라지표,고등학교유형별현황,1
e-나라지표,고용보험적용및징수현황내역,1
e-나라지표,공공기관녹색제품구매실적내역,1
통계청,공공부문별일자리형태별일자리내역,1
통계청,교원1인당학생수내역,1
통계청,구제신청건수및분쟁해결률내역,1
통계청,국가별성별고용률내역,1
한국은행,국가별외환보유액내역,1
통계청,국가별장래인구내역,1
brightics,국과수감정처리유형별현황,1
e-나라지표,국내광업권등록현황내역,1
e-나라지표,국민연금수급자현황내역,1
e-나라지표,국방예산추이내역,1
e-나라지표,기업공개실적내역,1
e-나라지표,기업부설연구소수,1
e-나라지표,난민인정자현황,1
통계청,GDP대비사회복지지출비율내역,1
e-나라지표,뇌사자장기기증내역,1
통계청,대형소매점판매액현황,1
통계청,도시가스보급률현황,1
통계청,도시군계획사업현황내역,1
e-나라지표,마약밀수단속추이내역,1
e-나라지표,문화재수리기술자기능자현황,1
e-나라지표,변호사공증사무소현황내역,1
e-나라지표,병역판정검사현황내역,1
e-나라지표,보육교직원내역,1
통계청,비정규직근로자비율내역,1
통계청,사망원인성연령사망자수및사망률내역,1
brightics,사법시험현황내역,1
e-나라지표,사회복무요원소집현황,1
통계청,사회복지전담공무원현황내역,1
통계청,산업및규모별임금및근로시간내역,1
통계청,산업별임금및근로시간내역,1
통계청,상권별오피스임대료현황,1
통계청,상권별중대형상가임대료내역,1
e-나라지표,섬유산업동향내역,1
관세청,세관별수출입실적내역,1
기획재정부,소관별 세입세출 결산 현황,1
통계청,소방안전교육이수율내역,1
통계청,수송수단별여객수송,1
통계청,수요별기계종류별기계수주불변금액내역,1
통계청,스마트폰과의존위험군현황,1
통계청,시군구농가수내역,1
통계청,시군구별주민등록인구내역,1
통계청,시군구성출산순위별출생내역,1
통계청,시군별종사상지위별취업자내역,1
통계청,시도에너지원소비실적내역,1
통계청,신뢰도내역,1
통계청,신재생에너지원별열량생산량현황,1
통계청,아동십만명당안전사고사망률현황,1
e-나라지표,암발생자수및암발생률내역,1
통계청,야간보행에대한안전도내역,1
e-나라지표,양도소득세부과현황내역,1
e-나라지표,어린이집수및아동수현황내역,1
통계청,어음교환및부도,1
e-나라지표,업종별기업결합현황내역,1
e-나라지표,연도별국가지정문화재현황내역,1
e-나라지표,연도별남북협력기금조성현황내역,1
통계청,연도별도시철도수송실적현황내역,1
통계청,영아사망원인성생존기간별사망자수영아사망률내역,1
통계청,월별소비자물가등락률,1
통계청,월평균임금및임금상승률내역,1
통계청,유아천명당보육시설수내역,1
통계청,의료기기수거검사내역,1
e-나라지표,의약품생산내역,1
brightics,일반고용동향내역,1
한국은행,재별제조업생산지수내역,1
e-나라지표,적용기간별최저임금현황내역,1
e-나라지표,행정부국가공무원정원내역,1
통계청,정치적역량감,1
e-나라지표,제조업부채비율,1
통계청,종사자지위별취업자내역,1
한국은행,주식거래및주가지수내역,1
e-나라지표,주요국가별RTA체결현황내역,1
e-나라지표,주요주류출고량현황내역,1
통계청,주차장확보율현황,1
통계청,주택건설실적총괄내역,1
e-나라지표,주택미분양현황내역,1
NBSC,중국제조업구매관리자지수,1
e-나라지표,중소제조업경영동향,1
e-나라지표,즉결심판청구건수현황,1
지방재정365,지방재정지역통합세입결산내역,1
지방재정365,지방재정최종통합재정수지결산내역,1
통계청,지역성고용형태별현재인원내역,1
e-나라지표,지하수및지표수의연간취수량,1
통계청,채권종류별상장내역,1
e-나라지표,채무보증현황내역,1
e-나라지표,총범죄발생및검거내역,1
brightics,치료감호소수용자현황,1
e-나라지표,특별재난지역선포,1
e-나라지표,해상범죄발생건수및처리현황내역,1
통계청,행정구역별순수토지거래현황내역,1
e-나라지표,노인취업률현황내역,1
e-나라지표,4대강주요지점수질현황내역,1
e-나라지표,전자정부서비스이용현황,1
통계청,WorldBank국가별경제규모현황,1
e-나라지표,e러닝활용현황,1
통계청,가정부문원별소비현황,1
e-나라지표,각국유엔정규분담금분담률현황내역,1
e-나라지표,건강가정지원센터설치수내역,1
통계청,건강평가내역,1
e-나라지표,결혼이민자내역,1
한국은행,경제활동인구내역,1
e-나라지표,공공기관재무정보,1
통계청,관광사업체수,1
e-나라지표,광공업생산동향내역,1
통계청,국가온실가스종류별배출량추이현황,1
e-나라지표,국가채권추이내역,1
e-나라지표,국내SW수출액현황내역,1
통계청,국내여객화물수송량및분담률내역,1
e-나라지표,국외도피사범송환현황내역,1
한국은행,국제수지내역,1
e-나라지표,근로소득세신고현황내역,1
통계청,급여형태별요양급여실적내역,1
e-나라지표,긍정정서설문내역,1
e-나라지표,나라장터운영실적,1
e-나라지표,농가교역조건지수현황,1
e-나라지표,대기질만족도현황,1
통계청,대한민국가계부채비율내역,1
통계청,도로포장률현황,1
통계청,도소매업종사자수현황,1
통계청,도시공원녹지유원지내역,1
통계청,도시군계획시설미집행현황내역,1
통계청,OECD연령별성별고용률내역,1
e-나라지표,매체별TV프로그램시청경험비율현황,1
e-나라지표,목재수급상세현황내역,1
e-나라지표,문화재발굴조사현황,1
FRED,미국주택착공건수내역,1
e-나라지표,배출원별CO배출량내역,1
e-나라지표,배출원별NH3배출량내역,1
e-나라지표,배출원별SOx배출량내역,1
통계청,범죄의발생검거현황,1
e-나라지표,보호조치내역,1
e-나라지표,보훈심사비해당자내역,1
통계청,사업체부문쌀소비량,1
e-나라지표,사이버방송영상아카데미운영내역,1
통계청,산업근로형태별취업자내역,1
통계청,산업별외국인투자유치실적현황,1
통계청,산업재해발생현황내역,1
통계청,상권별소규모상가임대가격지수현황,1
통계청,상권별오피스공실률현황,1
WHO,성별건강수명내역,1
통계청,성별구직단념자내역,1
통계청,성별사회적관계망내역,1
e-나라지표,성별연령집단별및도농별대인신뢰도,1
통계청,소득5분위별가구당도시가계수지내역,1
통계청,소득만족도내역,1
통계청,소비생활만족도내역,1
소상공인시장진흥공단,소상공인전망BSI내역,1
e-나라지표,수도권과지방현황,1
통계청,시군구고위험음주율내역,1
통계청,시군구및연령별주민등록인구내역,1
통계청,시군구별인구십만명당자살률내역,1
통계청,시군구일반폐기물재활용률내역,1
통계청,시군구지가변동률내역,1
통계청,시군취업자수내역,1
통계청,시도별소비생활만족도내역,1
통계청,시도상권별중대형상가공실률내역,1
통계청,시도실업률내역,1
통계청,시도어가수내역,1
