fld,arch_grp,outcome,n_year,amp_mean,corr_levels,corr_diff,fld_arch
국토및지역개발,normal,housing_supply,10,0.6165109543146196,0.11342090038867043,0.12335582435323116,국토및지역개발 / normal
국토및지역개발,personnel,housing_supply,10,0.05322547677749305,-0.07600015057402683,0.3419724756479805,국토및지역개발 / personnel
농림수산,chooyeon_sub0,farm_income,10,0.9736680208336084,0.40539180380517836,-0.3060026682808143,농림수산 / chooyeon_sub0
농림수산,chooyeon_sub1,farm_income,10,0.7145265831812373,-0.24214872777731597,-0.17653739750855452,농림수산 / chooyeon_sub1
농림수산,direct_invest,farm_income,10,0.6559563552961728,-0.5136894417900036,0.04752782539790773,농림수산 / direct_invest
농림수산,normal,farm_income,10,0.4413062768416805,0.33907893378041315,0.24908997126156715,농림수산 / normal
농림수산,personnel,farm_income,10,0.07469238279179174,0.2377012506509019,0.432314370651633,농림수산 / personnel
문화및관광,chooyeon_sub0,tourists_sample,6,0.7158267925445696,-0.1604159793033307,-0.3875275339704841,문화및관광 / chooyeon_sub0
문화및관광,direct_invest,tourists_sample,6,0.6119074846315176,-0.3062931880635085,0.008252139165305664,문화및관광 / direct_invest
문화및관광,normal,tourists_sample,6,0.37760292650142424,-0.03131063710664286,-0.15874435979568355,문화및관광 / normal
문화및관광,personnel,tourists_sample,6,0.06257080425504022,-0.7538996974437677,-0.7023872377109646,문화및관광 / personnel
보건,chooyeon_sub0,life_expectancy,10,0.8564587032873672,0.4114838356056891,-0.6304419670703489,보건 / chooyeon_sub0
보건,chooyeon_sub1,life_expectancy,10,0.330214710607493,0.04574226829208499,0.5594600568157644,보건 / chooyeon_sub1
보건,direct_invest,life_expectancy,10,0.5013906148417526,-0.40336418092369203,0.37118041423837717,보건 / direct_invest
보건,normal,life_expectancy,10,0.5057056453582993,0.4668085580887649,0.2646705995013064,보건 / normal
보건,personnel,life_expectancy,10,0.06633433776640067,0.3102871364757175,0.4520905381076288,보건 / personnel
사회복지,chooyeon_sub0,wealth_gini,8,0.8171396397950081,0.03844674259315828,-0.02496338115590729,사회복지 / chooyeon_sub0
사회복지,chooyeon_sub1,wealth_gini,8,0.4019069573985262,0.5239490952462922,-0.1031001543057452,사회복지 / chooyeon_sub1
사회복지,direct_invest,wealth_gini,8,0.9172089963401872,-0.2827442344284863,-0.02651477138957094,사회복지 / direct_invest
사회복지,normal,wealth_gini,8,0.3612251226375832,0.7494838888988584,-0.49171237806384693,사회복지 / normal
사회복지,personnel,wealth_gini,8,0.07117540586135221,0.4048958474189293,0.21851467841056596,사회복지 / personnel
