cluster,clu_label,metric,metric_label,n_year,corr_levels,corr_diff,amp_mean,oc_mean,is_replaced
1,자산취득형,ghg_total,환경(온실가스),9,-0.21570809387129633,0.27809133741493897,0.3233386643740864,736931.84,False
1,자산취득형,broadband_per_100,통신(광대역가입),11,0.8990185467263979,0.18903093297427875,0.35038415887850943,43.836363636363636,True
1,자산취득형,oda_total,통일외교(ODA),10,,,0.3392605923770661,0.0,False
1,자산취득형,crime_occurrence,공공질서(범죄발생),10,-0.4884940210324641,0.4010678795678447,0.3392605923770661,1616953.8,False
1,자산취득형,defense_op_margin,국방(영업이익률),9,0.6637423128175545,0.38342645875627324,0.3233386643740864,4.288888888888888,False
2,출연금형,wealth_gini,사회복지(지니),9,0.7725262866922785,0.16695223263589695,0.3411846041356416,0.6024444444444444,False
2,출연금형,life_expectancy,보건(기대수명),10,0.5940826808909548,-0.6298456795970403,0.31162697448959564,83.01510800000001,False
2,출연금형,patent_apps_total,과학기술(특허출원),10,0.776171627712759,-0.11812643629620878,0.31162697448959564,521236.8,True
2,출연금형,industry_production_index,산업(생산지수),11,0.8779048172809601,0.5584941968387688,0.31943739475120503,104.14545454545454,False
2,출연금형,foreign_tourists_total,문화관광(외국인관광),10,-0.39692991685180057,0.07758125516377168,0.31162697448959564,11074.6,True
2,출연금형,private_edu_hours,교육(사교육시간),11,0.8639767404348297,0.443824106133609,0.31943739475120503,6.074910969320521,False
2,출연금형,housing_supply,국토(주택공급),10,0.8659254987834724,0.05505879415742079,0.31162697448959564,1068.2789166666666,False
2,출연금형,fiscal_indep_natl,일반행정(재정자립),11,-0.684347781987577,-0.11207557417987354,0.31943739475120503,50.71818181818182,True
2,출연금형,farm_income,농림수산(농가소득),10,0.8170181530095184,-0.23303921654985685,0.31162697448959564,48907.92743492879,False
2,출연금형,traffic_deaths,교통(사망자),10,-0.8743965291106973,-0.0460917517681947,0.31162697448959564,3403.2,False
2,출연금형,ghg_total,환경(온실가스),9,-0.18193925969650163,0.46523326794676206,0.30522129837401313,736931.84,False
2,출연금형,broadband_per_100,통신(광대역가입),11,0.8416759398335114,-0.0011225212032134823,0.31943739475120503,43.836363636363636,True
2,출연금형,oda_total,통일외교(ODA),10,0.6906497910932045,-0.027280224575283177,0.31162697448959564,2621.6,False
2,출연금형,crime_occurrence,공공질서(범죄발생),10,-0.8269522359782522,-0.30235882948766,0.31162697448959564,1616953.8,False
2,출연금형,defense_op_margin,국방(영업이익률),9,0.571539386925477,0.09171482229971792,0.30522129837401313,4.288888888888888,False
3,정상형,wealth_gini,사회복지(지니),9,0.856682410316545,-0.5519911764932749,0.28866081719716685,0.6024444444444444,False
3,정상형,life_expectancy,보건(기대수명),10,0.7486686619689567,-0.29300048679913065,0.2629606337191637,83.01510800000001,False
3,정상형,patent_apps_total,과학기술(특허출원),10,0.8066224693173474,-0.03930417872567325,0.2629606337191637,521236.8,True
3,정상형,industry_production_index,산업(생산지수),11,0.9758561199505017,0.5926639981325919,0.27020219472698126,104.14545454545454,False
3,정상형,foreign_tourists_total,문화관광(외국인관광),10,-0.2575480308837601,0.36337342428711783,0.2629606337191637,11074.6,True
3,정상형,private_edu_hours,교육(사교육시간),11,0.9574482974339795,0.7557159608245237,0.27020219472698126,6.074910969320521,False
3,정상형,housing_supply,국토(주택공급),10,0.9684246602949257,-0.13731331899126709,0.2629606337191637,1068.2789166666666,False
3,정상형,fiscal_indep_natl,일반행정(재정자립),11,-0.7429005627582641,-0.2178585405220596,0.27020219472698126,50.71818181818182,True
3,정상형,farm_income,농림수산(농가소득),10,0.9419275770864941,0.17427090138410364,0.2629606337191637,48907.92743492879,False
3,정상형,traffic_deaths,교통(사망자),10,-0.9433674330036365,0.19618175502468424,0.2629606337191637,3403.2,False
3,정상형,ghg_total,환경(온실가스),9,-0.2918102634814752,0.7014578215906591,0.25239553992026487,736931.84,False
3,정상형,broadband_per_100,통신(광대역가입),11,0.9637343708698257,0.10346890363633103,0.27020219472698126,43.836363636363636,True
3,정상형,oda_total,통일외교(ODA),10,0.9139639276025769,0.4286709206400622,0.2629606337191637,2621.6,False
3,정상형,crime_occurrence,공공질서(범죄발생),10,-0.7773742302906367,-0.34600200659411595,0.2629606337191637,1616953.8,False
3,정상형,defense_op_margin,국방(영업이익률),9,0.6872068936849178,0.3394829368472939,0.25239553992026487,4.288888888888888,False
