FLD_NM,OFFC_NM,PGM_NM,ACTV_NM,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,sub,peak_month,q1_share,h2_share,dec_share,amp12,amp6,phase12,dec_nov_ratio,n_year
교육,교육부,맞춤형 국가장학제도 기반 조성,맞춤형 국가장학금 지원,0.012232817974607308,0.3917083483298297,0.10538939712197364,0.1144920680608614,0.008457698764797118,0.01807840801651009,0.1376720742235171,0.04025017746641081,0.10336048409816026,0.06135026281152948,0.002537554156711493,0.004470708975091604,1,2,0.5093305634264106,0.34964126173142074,0.004470708975091604,0.04891221085166211,0.088951937300755,-0.9728808121639804,0.4012813419611428,7
교육,교육부,맞춤형 국가장학제도 기반 조성,한국장학재단 출연,0.06080786373857331,0.1816793935530121,0.09691624401750694,0.17954873803668867,0.0406893775395798,0.044744638440683306,0.10295760720481324,0.09791236771068977,0.0760416669754856,0.0351298199539939,0.06005699769238652,0.02351528513658682,0,2,0.33940350130909236,0.3956137446739558,0.02351528513658682,0.033468228024134204,0.04099090756987451,-1.4101002791931823,0.3933870967741936,6
교육,교육부,산학연 협력 활성화,전문대학 혁신 지원,0.0,0.11629373846987422,0.1250924133639717,0.17751981641988734,0.10922031012432376,0.217808577345777,0.04472699122618242,0.042755126613603596,0.05972337385385426,0.044217245038063714,0.01550307259037772,0.04713933495408424,0,6,0.24138615183384593,0.25406514427616594,0.04713933495408424,0.06973048733701841,0.021029898156727195,-1.9196670840071937,0.0,6
교육,교육부,학술연구 역량 강화,인문사회학술연구 조성,0.005708642318889391,0.15531581401983932,0.11393323926674648,0.15541503119177136,0.1074257019336472,0.15717026128710873,0.16502976231356672,0.07789205652181917,0.013110497327372924,0.045534494015058,0.0034644998041806025,0.0,0,7,0.2749576956054752,0.3050313099819974,0.0,0.077552725685395,0.015358145882232095,-2.087694634487837,0.0,9
교통및물류,국토교통부,고속철도건설,고속철도건설,0.07317494164445694,0.05859161993036128,0.12495091838653992,0.12769936979170227,0.08919204706599261,0.1316852638420165,0.12038523215270731,0.05023019360676593,0.05202006834768399,0.04563472134044164,0.06274275820889624,0.0636928656824353,0,6,0.25671747996135813,0.39470583933893044,0.0636928656824353,0.03662110309898816,0.008976097633531683,-1.9220934554384594,1.4787882677916804,6
교통및물류,국토교통부,국토교통연구개발,국토교통기술역량강화(R&D),0.2409986212590315,0.19394599770983473,0.27596039370454484,0.09156426186852305,0.07323994061504796,0.04061130663287563,0.05002481362359525,0.02304830134843172,0.007453219284777069,0.0019180265435960646,0.00046537691465317935,0.0007697404950890488,1,3,0.7109050126734111,0.08367947821014234,0.0007697404950890488,0.10574330404752974,0.06085243506428769,-0.8838970877303881,1.2101818945144847,11
교통및물류,국토교통부,국토교통정보화,건설사업정보화(정보화),0.0228924620068299,0.11026154812918303,0.2960624855881492,0.09144558869980512,0.09722629188044336,0.1139020584175301,0.06410564197887379,0.0790433931088188,0.014498591900149118,0.006785330868639977,0.025172930413126765,0.07860367700845088,1,3,0.4292164957241621,0.26820956527805934,0.07860367700845088,0.07139731763351477,0.027392591751115445,-1.430252963257738,4.067474775766954,7
교통및물류,국토교통부,국토교통정보화,철도정보화(정보화),0.0,0.13933688645102177,0.1880808090640478,0.10211652699919045,0.09528445072545559,0.14018694873358598,0.047789986010765936,0.044168525309909126,0.017920349766517293,0.0708524636264462,0.06367931566188481,0.09058373765117508,0,3,0.3274176955150696,0.33499437802669846,0.09058373765117508,0.04749629512753948,0.016753935312563677,-1.3552612013566077,1.7679454001679256,10
교통및물류,국토교통부,일반철도건설,일반철도건설,0.19534321323407342,0.06529677900239259,0.10836962433881628,0.1347823233146887,0.10745113831442883,0.10627057341769564,0.03223236920569809,0.026756085513528045,0.04718694194194882,0.055761843323002006,0.06139452313169672,0.0591545852620309,0,1,0.3690096165752823,0.2824863483779046,0.0591545852620309,0.044955145369437226,0.01252263206654651,-0.9207497669815481,1.208007055616431,10
교통및물류,국토교통부,자동차및교통정책,교통사고예방및피해자보호,0.19960293295622256,0.05631601171854695,0.3090538593277288,0.08990466680591808,0.12072148567105624,0.02052785828753453,0.02241042844170368,0.03481914210915555,0.0726373684165436,0.015494709817280461,0.02154347552438019,0.03696806092392943,1,3,0.5649728040024983,0.2038731852329929,0.03696806092392943,0.07687720711051658,0.04115400469752492,-0.9221138187887643,0.35662671566095533,11
교통및물류,국토교통부,자동차및교통정책,자동차안전도강화,0.10506309815282487,0.49510147135858557,0.2784676949447813,0.01890565108663007,0.0062259934353545284,0.03166777200220342,0.002284307324282211,0.006163211497196874,0.010108729568964013,0.014963220817637247,0.015859663060964896,0.015189186750575063,1,2,0.8786322644561917,0.0645683190196203,0.015189186750575063,0.13486667523290718,0.10887237850877451,-0.6360968299859151,18.15752596015848,11
교통및물류,국토교통부,철도안전및운영,철도안전(일반),0.0766284741304257,0.08216863152792558,0.11550348283665125,0.11007578285203934,0.13985890018120098,0.15802178190040791,0.06093151223061863,0.044996455084983365,0.056283964212011095,0.06816279874262249,0.04270443437531193,0.0446637819258017,0,6,0.27430058849500255,0.31774294657134916,0.0446637819258017,0.04365368856446588,0.015263191069901913,-1.8383668079802615,0.6935764162878828,11
국방,국방부,정책기획 및 국제협력,한국국방연구원 운영,0.31118422857071815,0.0,0.11290941127340993,0.17940667145075453,0.0,0.06734432681761147,0.14737000160155733,0.0,0.0063304397598556465,0.05635123829989142,0.06252011881920475,0.05658356340699681,0,1,0.42409363984412807,0.329155361887506,0.05658356340699681,0.04856130696968882,0.03373807014910684,-0.60864708341738,0.8553320505106963,7
국방,방위사업청,방위사업정책지원,국방과학연구소,0.09495061045626467,0.07837657086871785,0.09023701112842201,0.07618878604193775,0.0834843438466516,0.1647978292996966,0.04972416204710541,0.047180890572096436,0.08246690897969351,0.05490868531713344,0.07427038038511,0.10341382105717072,0,6,0.26356419245340457,0.41196484835830954,0.10341382105717072,0.014050383616272444,0.01991468340649093,-1.3512411872885577,1.2765839877146599,8
국방,방위사업청,방위사업정책지원,국방기술개발,0.07690013822099656,0.07852690126107503,0.09045339334904544,0.08359762755462635,0.09499829219337395,0.18962095383055794,0.023817262823480723,0.031363470834520533,0.06899802559107346,0.03990282167793044,0.09229206132124523,0.12952905134207432,0,6,0.24588043283111705,0.3859026935903247,0.12952905134207432,0.021480001268314414,0.034358856767309036,-1.1617412767332282,1.309363989355277,8
국방,방위사업청,방위사업정책지원,국방기술품질원,0.1036909191159496,0.07875586926879284,0.10255242289194004,0.09485962449230947,0.06887910177133769,0.13473926236390268,0.05643852952620602,0.05559890510461437,0.05601557276522235,0.0609520153160089,0.07098053088447927,0.1165372464992368,0,6,0.2849992112766825,0.4165228000957677,0.1165372464992368,0.020011826562006382,0.016270876587259196,-0.8869036917562074,1.7138165640982992,8
국방,방위사업청,방위사업정책지원,방위산업육성지원,0.060924205559149784,0.07564898518866044,0.10156715387492914,0.08629918709407232,0.07165822897556935,0.1970194892180191,0.05242634024947274,0.061671961654175614,0.08131260034028664,0.054412403604835916,0.04163803133665907,0.11542141290416989,0,6,0.23814034462273936,0.4068827500895999,0.11542141290416989,0.022484992679165716,0.017318077029336697,-1.9902732832429768,5.188020393193151,8
국방,방위사업청,유도무기사업,유도무기 연구개발,0.046530861479954555,0.1375137836738016,0.17859381403843771,0.04709156972607231,0.0831209501528195,0.21543133620725968,0.002750278386025291,0.029441378706868176,0.03863484375916805,0.03512247688860419,0.04967356548073317,0.13609514150025573,0,6,0.36263845919219384,0.2917176847216546,0.13609514150025573,0.04723557458351926,0.016792775569141116,-1.126089052089513,2.196040992786065,8
국방,방위사업청,지휘정찰사업,지휘정찰 연구개발,0.03307623175846525,0.07120395781502292,0.21864338702091285,0.0693522841602859,0.0612027870072966,0.2608262661502567,0.0035786521637162574,0.00928472960455869,0.03898821132363001,0.03149512076161112,0.0729114734207987,0.129436898813445,0,6,0.322923576594401,0.2856950860877598,0.129436898813445,0.04790131571929334,0.027196999503446683,-1.3426038915912564,1.6124760096818758,8
국방,방위사업청,함정사업,함정 연구개발,0.02484465596561697,0.01904859813998038,0.20195929104315713,0.047460559149531664,0.21386676716816708,0.19105850789533502,0.002991507137878834,0.00959919986076493,0.03830138673836844,0.027476842382923857,0.08685184205066174,0.13654084246761397,0,5,0.2458525451487545,0.30176162063821177,0.13654084246761397,0.05061657652724368,0.0568459205792407,-1.5670282039358678,2.2245842798435875,8
국토및지역개발,행정중심복합도시건설청,행정중심복합도시건설 운영,행정중심복합도시건설청 운영,0.09086637037054739,0.11069671848718676,0.0867873050962023,0.07981454431880396,0.08476660418792235,0.1496662520441417,0.05724981429836866,0.02015178284476825,0.04425553930028667,0.04206932762527324,0.03240897344958011,0.20126676797691864,0,12,0.28835039395393647,0.39740220549519556,0.20126676797691864,0.034349316615315185,0.03813249237100735,-0.7428031556959981,4.826591438524266,11
농림수산,농림축산식품부,농산물수급안정및유통효율화,농산물가격안정및수급조절(농특),0.15713422515938547,0.018909405187342965,0.13629542938323974,0.12539278192758052,0.04478712334519884,0.06871045724068438,0.10377152644758,0.044034952140921325,0.0040959567854170955,0.1824870769651272,0.028570575187317926,0.08581049023020457,0,10,0.31233905972996817,0.44877057775656815,0.08581049023020457,0.01931663641081817,0.008312003960552669,-0.44916205373469553,0.026782046361395022,7
농림수산,농림축산식품부,농업신산업육성,농식품기술개발(농특),0.33221641190481443,0.1377058703654416,0.1162038400472959,0.10016217158917397,0.0852161899887431,0.12435315337044957,0.03959153382377174,0.03374611798802352,0.010451704042844978,0.017574052403970936,0.002778954475470219,0.0,1,1,0.5861261223175519,0.10414236273408141,0.0,0.07665781069731044,0.05064418017643247,-0.8980178913941086,0.0,6
