cluster,clu_label,metric,metric_label,n_year,corr_levels,corr_diff,amp_mean,oc_mean
1,자산취득형,housing_supply,국토(주택공급),10,0.8182498439318737,-0.5944101654539502,0.3392605923770661,1068.2789166666666
1,자산취득형,local_tax_per_capita,일반행정(지방세),6,0.380450695091476,-0.3294864807966238,0.29483607115406385,166859937.48877105
1,자산취득형,farm_income,농림수산(농가소득),10,0.7609541801078896,-0.254797070769598,0.3392605923770661,48907.92743492879
1,자산취득형,traffic_deaths,교통(사망자),10,-0.7832228913385423,-0.12311456593077891,0.3392605923770661,3403.2
1,자산취득형,ghg_total,환경(온실가스),9,-0.21570809387129633,0.27809133741493897,0.3233386643740864,736931.84
1,자산취득형,ict_value_added,통신(ICT부가),11,0.8803348331582038,-0.011560093913877956,0.35038415887850943,220875.35454545452
2,출연금형,wealth_gini,사회복지(지니),9,0.7725262866922785,0.16695223263589695,0.3411846041356416,0.6024444444444444
2,출연금형,life_expectancy,보건(기대수명),10,0.5940826808909548,-0.6298456795970403,0.31162697448959564,83.01510800000001
2,출연금형,rd_total,과학기술(R&D),10,0.777662756807186,0.1998004290083762,0.31162697448959564,64633487.2
2,출연금형,industry_production_index,산업(생산지수),11,0.8779048172809601,0.5584941968387688,0.31943739475120503,104.14545454545454
2,출연금형,tourists_sample,문화관광(관광객),6,-0.0012893165408398711,0.20950390337379865,0.2897999342801267,9989.166666666666
2,출연금형,private_edu_hours,교육(사교육시간),11,0.8639767404348297,0.443824106133609,0.31943739475120503,6.074910969320521
2,출연금형,housing_supply,국토(주택공급),10,0.8659254987834724,0.05505879415742079,0.31162697448959564,1068.2789166666666
2,출연금형,local_tax_per_capita,일반행정(지방세),6,0.6574961253934305,-0.3102300325357852,0.2693202460168405,166859937.48877105
2,출연금형,farm_income,농림수산(농가소득),10,0.8170181530095184,-0.23303921654985685,0.31162697448959564,48907.92743492879
2,출연금형,traffic_deaths,교통(사망자),10,-0.8743965291106973,-0.0460917517681947,0.31162697448959564,3403.2
2,출연금형,ghg_total,환경(온실가스),9,-0.18193925969650163,0.46523326794676206,0.30522129837401313,736931.84
2,출연금형,ict_value_added,통신(ICT부가),11,0.8672320544062968,0.30363423040293946,0.31943739475120503,220875.35454545452
3,정상형,wealth_gini,사회복지(지니),9,0.856682410316545,-0.5519911764932749,0.28866081719716685,0.6024444444444444
3,정상형,life_expectancy,보건(기대수명),10,0.7486686619689567,-0.29300048679913065,0.2629606337191637,83.01510800000001
3,정상형,rd_total,과학기술(R&D),10,0.9586621899732997,0.47524700218591015,0.2629606337191637,64633487.2
3,정상형,industry_production_index,산업(생산지수),11,0.9758561199505017,0.5926639981325919,0.27020219472698126,104.14545454545454
3,정상형,tourists_sample,문화관광(관광객),6,-0.13724938553432586,-0.13259818085721778,0.23833837499593188,9989.166666666666
3,정상형,private_edu_hours,교육(사교육시간),11,0.9574482974339795,0.7557159608245237,0.27020219472698126,6.074910969320521
3,정상형,housing_supply,국토(주택공급),10,0.9684246602949257,-0.13731331899126709,0.2629606337191637,1068.2789166666666
3,정상형,local_tax_per_capita,일반행정(지방세),6,0.7684388944337713,-0.29007295847723324,0.22199581989333161,166859937.48877105
3,정상형,farm_income,농림수산(농가소득),10,0.9419275770864941,0.17427090138410364,0.2629606337191637,48907.92743492879
3,정상형,traffic_deaths,교통(사망자),10,-0.9433674330036365,0.19618175502468424,0.2629606337191637,3403.2
3,정상형,ghg_total,환경(온실가스),9,-0.2918102634814752,0.7014578215906591,0.25239553992026487,736931.84
3,정상형,ict_value_added,통신(ICT부가),11,0.9708240981806759,0.41703913546076776,0.27020219472698126,220875.35454545452
