fld,arch_grp,outcome,outcome_v3_replaced,n_year,amp_mean,corr_levels,corr_diff,fld_arch
문화및관광,personnel,foreign_tourists_total,True,10,0.06257080425504022,-0.6082186236982983,-0.503383950334174,문화및관광 / personnel
보건,chooyeon_sub0,life_expectancy,False,10,0.8564587032873672,0.4114838356056891,-0.6304419670703489,보건 / chooyeon_sub0
보건,chooyeon_sub1,life_expectancy,False,10,0.330214710607493,0.04574226829208499,0.5594600568157644,보건 / chooyeon_sub1
보건,direct_invest,life_expectancy,False,10,0.5013906148417526,-0.40336418092369203,0.37118041423837717,보건 / direct_invest
보건,normal,life_expectancy,False,10,0.5057056453582993,0.4668085580887649,0.2646705995013064,보건 / normal
보건,personnel,life_expectancy,False,10,0.06633433776640067,0.3102871364757175,0.4520905381076288,보건 / personnel
사회복지,chooyeon_sub0,wealth_gini,False,8,0.8171396397950081,0.03844674259315828,-0.02496338115590729,사회복지 / chooyeon_sub0
사회복지,chooyeon_sub1,wealth_gini,False,8,0.4019069573985262,0.5239490952462922,-0.1031001543057452,사회복지 / chooyeon_sub1
사회복지,direct_invest,wealth_gini,False,8,0.9172089963401872,-0.2827442344284863,-0.02651477138957094,사회복지 / direct_invest
사회복지,normal,wealth_gini,False,8,0.3612251226375832,0.7494838888988584,-0.49171237806384693,사회복지 / normal
사회복지,personnel,wealth_gini,False,8,0.07117540586135221,0.4048958474189293,0.21851467841056596,사회복지 / personnel
산업·중소기업및에너지,chooyeon_sub0,industry_production_index,False,10,0.8723890870994644,0.6449304040743054,0.3094442786423875,산업·중소기업및에너지 / chooyeon_sub0
산업·중소기업및에너지,chooyeon_sub1,industry_production_index,False,10,0.5307392989721794,0.47938790043484014,0.5765687642669616,산업·중소기업및에너지 / chooyeon_sub1
산업·중소기업및에너지,direct_invest,industry_production_index,False,10,0.560867729635571,-0.16464085743899082,-0.06007761125708933,산업·중소기업및에너지 / direct_invest
산업·중소기업및에너지,normal,industry_production_index,False,10,0.35313662304804444,0.7962345456300359,0.7844995613653135,산업·중소기업및에너지 / normal
산업·중소기업및에너지,personnel,industry_production_index,False,10,0.05651948245653462,-0.1688611067673468,0.11913602936809566,산업·중소기업및에너지 / personnel
일반·지방행정,chooyeon_sub0,fiscal_indep_natl,True,10,0.9014430143477646,-0.49098650517153924,-0.14333073922127645,일반·지방행정 / chooyeon_sub0
일반·지방행정,chooyeon_sub1,fiscal_indep_natl,True,10,0.5482624316303285,-0.7277702808079732,-0.45672256634658726,일반·지방행정 / chooyeon_sub1
일반·지방행정,direct_invest,fiscal_indep_natl,True,10,0.5290952338778017,0.2524747342065745,-0.17569778353251617,일반·지방행정 / direct_invest
일반·지방행정,normal,fiscal_indep_natl,True,10,0.4021200407636104,0.5959819414300934,0.3293691548997954,일반·지방행정 / normal
일반·지방행정,personnel,fiscal_indep_natl,True,10,0.07340399950056653,-0.4273512242942824,-0.05425275276167159,일반·지방행정 / personnel
통신,chooyeon_sub0,broadband_per_100,True,6,0.8624141699718589,0.7051593656299323,0.16298419690550434,통신 / chooyeon_sub0
통신,chooyeon_sub1,broadband_per_100,True,8,0.6696070801117582,-0.16616225784243419,0.8480332376336661,통신 / chooyeon_sub1
통신,direct_invest,broadband_per_100,True,6,0.43503287623262543,0.5932664729563605,0.26899929619479107,통신 / direct_invest
통신,normal,broadband_per_100,True,10,0.35026131136088584,-0.037865294022959864,0.5631828711234326,통신 / normal
통신,personnel,broadband_per_100,True,10,0.1926942602631944,-0.24750749616010875,0.6565717341974018,통신 / personnel
환경,chooyeon_sub0,ghg_total,False,5,1.4173015167940382,0.8495201841192564,0.8233856525046132,환경 / chooyeon_sub0
환경,direct_invest,ghg_total,False,9,0.4686427197110339,0.5028996531731611,0.6174223984587205,환경 / direct_invest
환경,normal,ghg_total,False,9,0.48730776656849545,-0.45325767764647595,0.17904896871978374,환경 / normal
환경,personnel,ghg_total,False,9,0.06984216561167708,-0.3263866182427799,-0.3859607428419636,환경 / personnel
